voltage,time
0.0,0.012512445449829102
0.026,0.11755180358886719
0.064,0.22255563735961914
0.09,0.3279988765716553
0.129,0.43393564224243164
0.168,0.5389971733093262
0.193,0.6440122127532959
0.232,0.7490005493164062
0.258,0.854224443435669
0.296,0.9594001770019531
0.322,1.064453363418579
0.361,1.1695082187652588
0.387,1.274524450302124
0.425,1.3795619010925293
0.451,1.484832763671875
0.477,1.590080738067627
0.516,1.6951959133148193
0.541,1.8002595901489258
0.567,1.9054934978485107
0.593,2.0105063915252686
0.619,2.115541458129883
0.657,2.2206485271453857
0.683,2.325735330581665
0.709,2.4308552742004395
0.735,2.5363457202911377
0.761,2.6414237022399902
0.786,2.746634006500244
0.825,2.85168719291687
0.851,2.9567863941192627
0.877,3.0619428157806396
0.889,3.1669838428497314
0.915,3.2720649242401123
0.941,3.377162218093872
0.967,3.4822683334350586
0.993,3.587470054626465
1.018,3.6925649642944336
1.044,3.797556161880493
1.057,3.9024388790130615
1.083,4.007270336151123
1.109,4.112161159515381
1.134,4.217111349105835
1.147,4.322006940841675
1.173,4.427057266235352
1.199,4.532550096511841
1.212,4.637624740600586
1.237,4.742737054824829
1.263,4.847782373428345
1.276,4.952883958816528
1.302,5.058232069015503
1.315,5.163405656814575
1.341,5.2684783935546875
1.354,5.373545169830322
1.379,5.478588819503784
1.392,5.5836827754974365
1.418,5.6887102127075195
1.431,5.793753623962402
1.457,5.898794651031494
1.47,6.003892183303833
1.495,6.108962535858154
1.508,6.2140069007873535
1.521,6.319183588027954
1.547,6.4244225025177
1.56,6.530102491378784
1.573,6.635014533996582
1.598,6.739918947219849
1.611,6.844841241836548
1.624,6.9498536586761475
1.65,7.054805517196655
1.663,7.1598427295684814
1.676,7.264958381652832
1.689,7.370062589645386
1.714,7.475246429443359
1.727,7.580416202545166
1.74,7.685427904129028
1.753,7.790534973144531
1.766,7.895631313323975
1.792,8.000728845596313
1.805,8.105844259262085
1.818,8.210854053497314
1.83,8.315942287445068
1.843,8.42103123664856
1.856,8.526340007781982
1.869,8.631451845169067
1.882,8.736685514450073
1.895,8.841749906539917
1.908,8.946875095367432
1.921,9.051979780197144
1.934,9.157087802886963
1.946,9.262072086334229
1.959,9.367055892944336
1.972,9.471944332122803
1.985,9.576817035675049
1.998,9.681715726852417
2.011,9.78660249710083
2.024,9.891485214233398
2.037,9.99655795097351
2.05,10.101599931716919
2.062,10.206685781478882
2.075,10.311860799789429
2.088,10.416916608810425
2.101,10.522114992141724
2.114,10.627217054367065
2.114,10.732238054275513
2.127,10.837321281433105
2.14,10.942404985427856
2.153,11.047826766967773
2.166,11.15307354927063
2.179,11.25818157196045
2.179,11.363259077072144
2.191,11.468302249908447
2.204,11.573309659957886
2.217,11.678349733352661
2.217,11.783401489257812
2.23,11.888488292694092
2.243,11.993576288223267
2.256,12.098622560501099
2.269,12.203681468963623
2.269,12.308743953704834
2.282,12.413760900497437
2.295,12.519052028656006
2.295,12.624114513397217
2.307,12.729276895523071
2.32,12.834471702575684
2.32,12.939622402191162
2.333,13.04485011100769
2.346,13.149754047393799
2.346,13.254707336425781
2.359,13.359591245651245
2.372,13.464503526687622
2.372,13.56947922706604
2.385,13.674644708633423
2.398,13.77969217300415
2.398,13.884771347045898
2.411,13.989863157272339
2.411,14.094934463500977
2.423,14.20011591911316
2.436,14.305099964141846
2.436,14.410003423690796
2.449,14.514962434768677
2.449,14.619842052459717
2.475,14.724734544754028
2.475,14.82960844039917
2.488,14.934484720230103
2.488,15.039949893951416
2.501,15.145013570785522
2.501,15.250129222869873
2.514,15.355509281158447
2.514,15.460542917251587
2.527,15.565933465957642
2.527,15.671010255813599
2.539,15.776096105575562
2.539,15.881229639053345
2.552,15.98632550239563
2.552,16.091435432434082
2.565,16.196537971496582
2.565,16.301641702651978
2.578,16.406731605529785
2.578,16.51189613342285
2.591,16.616905212402344
2.591,16.72199821472168
2.591,16.827089071273804
2.604,16.932188510894775
2.604,17.037571907043457
2.617,17.142829656600952
2.617,17.24787926673889
2.63,17.35302472114563
2.63,17.458066701889038
2.63,17.56324338912964
2.643,17.668288707733154
2.643,17.773329973220825
2.655,17.87833595275879
2.655,17.983375310897827
2.668,18.088620901107788
2.668,18.193642139434814
2.668,18.29878282546997
2.681,18.403881549835205
2.681,18.508925914764404
2.681,18.61402177810669
2.694,18.719130277633667
2.694,18.824177980422974
2.707,18.929311990737915
2.707,19.034680128097534
2.707,19.139755725860596
2.72,19.24509048461914
2.72,19.350104093551636
2.72,19.454984664916992
2.733,19.560018062591553
2.733,19.664901971817017
2.733,19.76976704597473
2.746,19.874653816223145
2.746,19.97952103614807
2.746,20.084659814834595
2.759,20.189703702926636
2.759,20.29477858543396
2.759,20.399910926818848
2.759,20.50494694709778
2.771,20.61007571220398
2.771,20.715167999267578
2.771,20.8202645778656
2.784,20.925302267074585
2.784,21.030786991119385
2.784,21.135972261428833
2.784,21.241097927093506
2.797,21.34640336036682
2.797,21.451462268829346
2.797,21.556594371795654
2.797,21.66185998916626
2.81,21.766884803771973
2.81,21.87208104133606
2.81,21.977245807647705
2.823,22.08225703239441
2.823,22.188181161880493
2.823,22.293359994888306
2.823,22.398735761642456
2.836,22.503835916519165
2.836,22.609951496124268
2.836,22.71579599380493
2.836,22.821828603744507
2.849,22.92694401741028
2.849,23.032844066619873
2.849,23.138174533843994
2.849,23.24313259124756
2.849,23.34800672531128
2.862,23.452888250350952
2.862,23.557876110076904
2.862,23.66297197341919
2.862,23.768084287643433
2.875,23.87313675880432
2.875,23.97821307182312
2.875,24.083298444747925
